Title,Source/Institution,Tags,Inpatient/Ambulatory,Resource Type,Link,Notes,Date,,,,search terms
Home Isolation Instructions for People with Coronavirus-2019 (COVID-19) Infection,Los Angeles County Department of Public Health,Infection Control,Ambulatory/Discharge,Protocol/Guideline,http://publichealth.lacounty.gov/acd/docs/HomeisolationenCoV.pdf,"Available in English, Spanish, Arabic, Farsi",3/22/20,,,,
What to do if you have confirmed COVID-19 disease,Santa Clara County Public Health,Infection Control,Ambulatory/Discharge,Patient Guidance,https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/Confirmed-Case-Information-Sheet-20200316.pdf,,3/19/20,,,,
Clinical Presentation and Management of COVID-19,Santa Clara County Public Health,"Screening, Management, General Resource",Ambulatory/Discharge,Protocol/Guideline,https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/Clinical-Management-Handout-20200318.pdf,,3/19/20,,,,
Interim Guidance for Isolation Period of Persons who Test Positive for COVID-19,Santa Clara County Public Health,Infection Control,Ambulatory/Discharge,Protocol/Guideline,https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/Isolation-Period-COVID-Case.pdf,,,,,,
Healthcare Personnel COVID-19 SCREENING ALGORITHM,Santa Clara County Public Health,"Screening, Special Populations - Healthcare Workers",Inpatient/ED,Protocol/Guideline,https://www.sccgov.org/sites/phd-p/Diseases/novel-coronavirus/Documents/HCP-Screening-Algorithm-20200321.pdf,,,,,,
Ventilator Sharing Protocol: Dual-Patient Ventilation with a Single Mechanical Ventilator for Use during Critical Ventilator Shortages,"New York Presbyterian Hospital, Columbia University College of Physicians and Surgeons ","Mechanical Ventilation, Use of Scarce Resources",Inpatient/ED,Protocol/Guideline,https://www.gnyha.org/wp-content/uploads/2020/03/Ventilator-Sharing-Protocol-Dual-Patient-Ventilation-with-a-Single-Mechanical-Ventilator-for-Use-during-Critical-Ventilator-Shortages.pdf,,,,,,
Massachusetts General Hospital COVID-19 Treatment Guidance,Massachusetts General Hospital,"General Management, Drug Therapy",Inpatient/ED,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/MGH%20ID%20COVID19%20Here%20and%20Now%20Treatment%20Guidance%20V1.351%2003272020.pdf,,,,,,
Liver and COVID-19,Massachusetts General Hospital,Focused Resource,Inpatient/ED,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_domID_liver.pdf,Includes guidance on monitoring LFTs when initiating remdesivir,,,,,
Schematic layout of treatment algorithm (PDF),Massachusetts General Hospital,"General Management, Drug Therapy",Inpatient/ED,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_domID_treatmentGuide_figure1.pdf,,,,,,
Massachusetts General Hospital Treatment Guidance for Critically Ill Patients with COVID-19,Massachusetts General Hospital,"General Resource, Mechanical Ventilation",Inpatient/ED,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_mghPulm_treatmentGuide.pdf,,3/18/20,,,,
BWH/MGH Guidelines for the Respiratory Care of Patients on Strict Isolation,"Massachusetts General Hospital, Brigham and Women's Hospital","General Management, PPE, Mechanical Ventilation",Inpatient/ED,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_bwhMghICU_strictIsolationRespiratoryCare.pdf,,,,,,
MGH Cancer Center Ambulatory Viral Triage Pathway,Massachusetts General Hospital,"Screening, Special Populations - Cancer",Ambulatory/Discharge,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_cancerCenter_ambulatoryViralTriage.pdf,,3/23/20,,,,
Patient flow through respiratory illness clinic (RIC),Massachusetts General Hospital,Screening,Ambulatory/Discharge,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_mghPrimaryCare_ptFlow.pdf,,,,,,
Triaging RIC patients to the 1) ED or 2) Ambulance Bay (formerly Surge clinic),Massachusetts General Hospital,Screening,Ambulatory/Discharge,Protocol/Guideline,https://www.massgeneral.org/assets/MGH/pdf/news/coronavirus/covid-19_mghPrimaryCare_triagingRicPt.pdf,,,,,,
Emergency Medical Treatment and Labor Act (EMTALA) Requirements and Implications Related to Coronavirus Disease 2019 (COVID-19),Centers for Medicare and Medicaid Services,"Screening, focused resource",Inpatient/ED,Protocol/Guideline,https://www.cms.gov/files/document/qso-20-15-hospitalcahemtala.pdf,,3/8/20,,,,
Personal Protective Equipment (PPE) Burn Rate Calculator,US Centers for Disease Control (CDC),"PPE, use of scarce resources",Inpatient/ED,Protocol/Guideline,https://www.cdc.gov/coronavirus/2019-ncov/hcp/ppe-strategy/burn-calculator.html?deliveryName=USCDC_10_4-DM24118,,,,,,
COVID-19: Conserving PPE,Emory University School of Medicine,"PPE, use of scarce resources",Inpatient/ED,Protocol/Guideline,https://med.emory.edu/departments/medicine/divisions/infectious-diseases/serious-communicable-diseases-program/covid-19-resources/conserving-ppe.html,,,,,,
"UCSF Health Interim Guidance for Adult ED, Inpatient OB Triage, Birth Center, and Hospitalized Patients with Suspected Respiratory Illness",UCSF,"Screening, Special Populations - OB",Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/3_13%20COVID%20flowsheet%20649.pdf,,,,,,
COVID-19 Airway & Management Guidelines,George Washington Health,"Airway Management, General Management, PPE, CPR",Inpatient/ED,Protocol/Guideline,https://smhs.gwu.edu/sites/default/files/files/COVID-19%20Airway%20%26%20Management%20Guideline%20for%20Anesthesiology%20%26%20ICU.pdf,,,,,,
INTERIM GUIDELINES FOR COVID-19 MANAGEMENT IN HEMATOPOIETIC CELL TRANSPLANT AND CELLULAR THERAPY PATIENTS,American Society for Transplantation and Cellular Therapy,"Screening, Special Populations - Hematopoietic Cell Transplant",Inpatient/ED,Protocol/Guideline,https://higherlogicdownload.s3.amazonaws.com/ASBMT/a1e2ac9a-36d2-4e23-945c-45118b667268/UploadedImages/COVID-19_Interim_Patient_Guidelines_3_18_20.pdf,,3/18/20,,,,
COVID-19 FAQ,American Society for Radiation Oncology,"General Resource, Special Populations - Cancer",Ambulatory/Discharge,Protocol/Guideline,https://www.astro.org/Daily-Practice/COVID-19-Recommendations-and-Information/COVID-19-FAQs#q5,,,,,,
"CORONAVIRUS DISEASE COVID-19: EBMT RECOMMENDATIONS UPDATE MARCH 23, 2020",European Society for Blood and Marrow Transplantation,Special Populations - Hematopoietic Cell Transplant,Ambulatory/Discharge,Protocol/Guideline,https://www.ebmt.org/sites/default/files/2020-03/EBMT%20COVID-19%20guidelines%20v.4.3%20%282020-03-23%29.pdf,,3/23/20,,,,
Zhejiang University - Handbook of COVID-19 Prevention and Treatment,Zhejiang University School of Medicine,"General Resource, Screening, PPE, Airway Management, Management, Mechanical Ventilation, Infection Control","INpatient/ED, Ambulatory/Discharge",Protocol/Guideline,https://www.alibabacloud.com/universal-service/pdf_reader?spm=a3c0i.14138300.8102420620.dreadnow.1ae9647f7UP7mL&cdnorigin=video-intl&pdf=Read%20Online-Handbook%20of%20COVID-19%20Prevention%20and%20Treatment.pdf,,,,,,
COVID-19 and Persons with HIV (Interim Guidance),NIH AIDSinfo,Special Populations - Immunocompromised,"INpatient/ED, Ambulatory/Discharge",Protocol/Guideline,https://aidsinfo.nih.gov/guidelines/html/8/covid-19-and-persons-with-hiv--interim-guidance-/0?utm_source=AIDSinfo&utm_medium=email&utm_campaign=3-20-20-COVID19_Guidance,,,,,,
Information for Healthcare Professionals,US Centers for Disease Control (CDC),"Screening, PPE, General Management, General Resource","Inpatient/ED, Ambulatory/Discharge",Protocol/Guideline,https://www.cdc.gov/coronavirus/2019-nCoV/hcp/index.html,,,,,,
Detailed recommendations for interactions with experimental COVID-19 therapies.,University of Liverpool,Drug Therapy,Inpatient/ED,Protocol/Guideline,https://liverpool-covid19.s3.eu-west-2.amazonaws.com/xtzz2t1q0cxmqc4oknuj4e8numi3?response-content-disposition=inline%3B%20filename%3D%22Covid_InteractionDetails_Web_2020_Mar20.pdf%22%3B%20filename%2A%3DUTF-8%27%27Covid_InteractionDetails_Web_2020_Mar20.pdf&response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAI7XER5GUPWKQNOYA%2F20200330%2Feu-west-2%2Fs3%2Faws4_request&X-Amz-Date=20200330T073822Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=4ccf6bc10ad1028ee958bec4b5a28ed8b29d276d54778dbb7eea3bf04af86624,,,,,,
2019-nCoV (Coronavirus): FAQs for Organ Donation and Transplantation,American Society of Tranplantation,"Screening, Special Populations - Organ Transplant",Ambulatory/Discharge,Protocol/Guideline,https://www.myast.org/sites/default/files/COVID19%20FAQ%20Tx%20Centers%2003.20.2020-FINAL.pdf,,3/20/20,,,,
Comprehensive Hospital Preparedness Checklist for Coronavirus Disease 2019 (COVID-19),US Centers for Disease Control (CDC),Health System Planning,Inpatient/ED,Protocol/Guideline,https://www.cdc.gov/coronavirus/2019-ncov/downloads/HCW_Checklist_508.pdf,,3/24/20,,,,
Key Points to Consider in Preparing to Use Anesthesia Ventilators as ICU Ventilators,American Society of Anesthesiologists,"Mechanical Ventilation, Use of Scarce Resources",Inpatient/ED,Protocol/Guideline,https://www.asahq.org/-/media/files/spotlight/apsfasa-anesthesia-machines-as-icu-ventilators.pdf?la=en&hash=F9C7E70608BFBC274A463641B5B0E1DE8C82177E,,,,,,
Quick Reference for using Anesthesia Ventilators as ICU Ventilators,American Society of Anesthesiologists,"Mechanical Ventilation, Use of Scarce Resources",Inpatient/ED,Protocol/Guideline,https://www.asahq.org/-/media/files/spotlight/quick-reference.pdf?la=en&hash=CBA806A5AA64640C1C4EC8A1E51DFC23C8CD9870,,,,,,
The Use of Personal Protective Equipment by Anesthesia Professionals during the COVID-19 Pandemic,American Society of Anesthesiologists,"Airway Management, PPE",Inpatient/ED,Protocol/Guideline,https://www.asahq.org/about-asa/newsroom/news-releases/2020/03/update-the-use-of-personal-protective-equipment-by-anesthesia-professionals-during-the-covid-19-pandemic,,3/22/20,,,,
Interim Guidance for Healthcare Providers during COVID-19 Outbreak,American Heart Association,"PPE, CPR",Inpatient/ED,Protocol/Guideline,https://cpr.heart.org/-/media/cpr-files/resources/covid-19-resources-for-cpr-training/interim-guidance-march-19-2020.pdf?la=en&hash=5A491D18BBB61795442A98A49A50C05173C77EF6,,,,,,
Interim Guidance for Healthcare Providers Caring for Pediatric Patients,American Heart Association,"PPE, CPR, Special Populations - Pediatrics",Inpatient/ED,Protocol/Guideline,https://cpr.heart.org/-/media/cpr-files/resources/covid-19-resources-for-cpr-training/interim-guidance-pediatric-patients-march-27-2020.pdf?la=en&hash=00F501EB7F4B5DA66DCE1CFEFF456DF147C1AE63,,,,,,
Guidance for the resuscitation of COVID-19 patients in hospital (Algorithm and Flowchart),Resuscitation Council United Kingdom,CPR,Inpatient/ED,Protocol/Guideline,https://www.resus.org.uk/media/statements/resuscitation-council-uk-statements-on-covid-19-coronavirus-cpr-and-resuscitation/covid-healthcare-resources/,,3/27/20,,,,
Management of Patients with COVID-19 Infection,American College of Chest Physicians,"Screening, PPE, General Management",Inpatient/ED,Protocol/Guideline,https://www.chestnet.org/Guidelines-and-Resources/Resources/Management-of-Patients-with-COVID-19-Infection,,,,,,
Indicators and Triggers for Potential Movement to Crisis Care,American College of Chest Physicians,"Health System Planning, Use of Scarce Resources",Inpatient/ED,Protocol/Guideline,https://www.chestnet.org/Guidelines-and-Resources/Resources/Indicators-and-Triggers-for-Potential-Movement-to-Crisis-Care,,,,,,
ISTH interim guidance on recognition and management of coagulopathy in COVID‐19,International Society of Thrombosis and Hemostasis,"Management, Anticoagulation",Inpatient/ED,Protocol/Guideline,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jth.14810,,,,,,
SARS-CoV-2 Guidance Document,American Association for Respiratory Care,"Management, Airway Management, Mechanical Ventilation",Inpatient/ED,Protocol/Guideline,https://www.aarc.org/wp-content/uploads/2020/03/guidance-document-SARS-COVID19.pdf,,3/28/20,,,,
The Michigan Critical Care Collaborative Network Landing Page,Michigan Critical Care Collaborative Network,General Resource,Inpatient/ED,Website,http://www.med.umich.edu/surgery/mcccn/,,,,,,
Michigan Medicine COVID-19 Adult Critical Care Consensus Recommendations,Michigan Critical Care Collaborative Network,General Management,Inpatient/ED,Protocol/Guideline,http://www.med.umich.edu/surgery/mcccn/documents/COVID-19-Critical-Care-Management-Consensus-Recommendations-3.25.20.pdf,,,,,,
OUTPATIENT GUIDANCE FOR TREATMENT OF COVID-19 IN ADULTS AND CHILDREN,University of Michigan Medicine,"General Management, Drug Therapy, Special Populations - Pediatrics",Ambulatory/Discharge,Protocol/Guideline,http://www.med.umich.edu/asp/pdf/outpatient_guidelines/COVID-19-amb-treatment.pdf,,,,,,
INPATIENT GUIDANCE FOR TREATMENT OF COVID-19 IN ADULTS AND CHILDREN,University of Michigan Medicine,"General Management, Drug Therapy, Special Populations - Pediatrics",Inpatient/ED,Protocol/Guideline,https://www.med.umich.edu/asp/pdf/adult_guidelines/COVID-19-treatment.pdf,,,,,,
DoD COVID-19 PRACTICE MANAGEMENT GUIDE,US Department of Defence,"General Resource, Infection Control, PPE, Screening, Airway Management, General Management, Mechanical Ventilation, Special Populations - OB","Inpatient/ED, Ambulatory/Discharge",Protocol/Guideline,https://health.mil/Reference-Center/Technical-Documents/2020/03/24/DoD-COVID-19-Practice-Management-Guide,,,,,,
MICHIGAN MEDICINE ADULT EMERGENCY SERVICE COVID-19 AIRWAY MANAGEMENT ALGORITHM,Michigan Critical Care Collaborative Network,Airway Management,Inpatient/ED,Protocol/Guideline,http://www.med.umich.edu/surgery/mcccn/documents/COVID-19-Intubation-Checklist-v9.pdf,,,,,,
Airway Response Guidelines for Outside of OR airways,"Michigan Critical Care Collaborative Network, Penn Medicine",Airway Management,Inpatient/ED,Protocol/Guideline,http://www.med.umich.edu/surgery/mcccn/documents/MM-Intubation-guidelines-Final-with-PENN-Reference-3_25_20.pdf,,,,,,
Michigan Medicine Anesthesiology Airway Team Response for COVID-19,Michigan Critical Care Collaborative Network,Airway Management,Inpatient/ED,Protocol/Guideline,http://www.med.umich.edu/surgery/mcccn/documents/Airway-Team-Response-COVID-19-3_25_20.pdf,,,,,,
Considerations for Respiratory Therapist in Managing Patients with COVID-19,Michigan Critical Care Collaborative Network,"Airway Management, Mechanical Ventilation",Inpatient/ED,Protocol/Guideline,http://www.med.umich.edu/surgery/mcccn/documents/RT-Top-10-list.pdf,,,,,,
UNIVERSAL SURGICAL MASK POLICY,UCSF,PPE,Inpatient/ED,Protocol/Guideline,https://infectioncontrol.ucsfmedicalcenter.org/sites/g/files/tkssra4681/f/Surgical_Mask_Flyer.pdf,,3/30/20,,,,
,,,,,,,,,,,
VIRUS COVID-19 Registry,Society for Critical Care Medicine,Research,Inpatient/ED,Website,https://sccm.org/Research/Research/Discovery-Research-Network/VIRUS-COVID-19-Registry,COVID-19 Patient Registry ,3/27/20,,,,
Management of Critically Ill Adults with COVID-19,Journal of the American Medical Associaiton,"General Resource, ICU for non ICU-trained Providers",Inpatient/ED,Journal Article,https://jamanetwork.com/journals/jama/fullarticle/2763879,JAMA Clinical Guideline Synopsis: SCCM Covid-19 Guidelines,3/26/20,,,,
Internet Book of Critical Care -- COVID-19,EMCrit.org,General Resource,Inpatient/ED,Website,https://emcrit.org/ibcc/COVID19/,EMCrit / PULMCrit resource,3/26/20,,,,
COVID-19 Med App,Independent,General Resource,Inpatient/ED,Web-based app,http://covid19medapp.com/,,,,,,
CAPC COVID-19 Response Resources,Center to Advance Palliative Care,"General Resource, Palliative Care",Inpatient/ED,Website,https://www.capc.org/toolkits/covid-19-response-resources/,"Palliative Care recommendations, conversation scripts",,,,,
Johns Hopkins Coronavirus Resource Center,Johns Hopkins University and Medicine,General Resource,None,Website,https://coronavirus.jhu.edu/map.html,Worldwide tracking of SARS-CoV-2 spread,,,,,
Treatment for severe acute respiratory distress syndrome from COVID-19,Lancet Respiratory Medicine,"General Resource, Mechanical Ventilation, Drug Therapy, ICU for non ICU-trained Providers",Inpatient/ED,Journal Article,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30127-2/fulltext,Useful for non ICU-trained clinicians managing ICU patients,,,,,
QUICK GUIDE FOR MANAGEMENT OF PATIENTS WITH COVID19: HOSPITALIST GUIDE + INITIAL WORK-UP,Brigham and Women's Hospital,General Management,Inpatient/ED,Quick Reference,https://www.covidprotocols.org/pdf/INITIAL%20WORKUP%20FOR%20THE%20HOSPITALIST-%20covid%20quick%20guide.pdf,,,,,,
CARING FOR COVID19: QUICK GUIDE FOR THE INTENSITIVIST,Brigham and Women's Hospital,"General Management, ICU for non ICU-trained Providers",Inpatient/ED,Quick Reference,https://www.covidprotocols.org/pdf/INTENSIVISIT%20covid%20quick%20guide.pdf,Useful for non ICU-trained clinicians managing ICU patients,,,,,
QUICK GUIDE FOR MANAGEMENT OF CRITICALLY ILL PATIENTS WITH COVID19: RESPIRATORY FAILURE,Brigham and Women's Hospital,"General Management, ICU for non ICU-trained Providers",Inpatient/ED,Quick Reference,https://www.covidprotocols.org/pdf/RESP%20FAILURE-%20covid%20quick%20guide.pdf,Useful for non ICU-trained clinicians managing ICU patients,,,,,
Care for Critically Ill Patients with COVID-19,Journal of the American Medical Associaiton,"General Management, ICU for non ICU-trained Providers",Inpatient/ED,Journal Article,https://jamanetwork.com/journals/jama/fullarticle/2762996,Useful for non ICU-trained clinicians managing ICU patients,3/11/20,,,,
Fair Allocation of Scarce Medical Resources in the Time of Covid-19,New England Journal of Medicine,"Ethics, Use of Scarce Resources",Inpatient/ED,Journal Article,https://www.nejm.org/doi/full/10.1056/NEJMsb2005114,,3/23/20,,,,
A Framework for Rationing Ventilators and Critical Care Beds During the COVID-19 Pandemic,Journal of the American Medical Associaiton,"Ethics, Use of Scarce Resources",Inpatient/ED,Journal Article,https://jamanetwork.com/journals/jama/fullarticle/2763953,,3/27/20,,,,
University of Illinois at Chicago ICU Guidebook,University of Illinois at Chicago College of Medicine,ICU for non ICU-trained Providers,Inpatient/ED,Website,https://chicago.medicine.uic.edu/wp-content/uploads/sites/6/2017/09/icuguidebook.pdf,Useful for non-ICU trained clinicians managing ICU patients,9/1/13,,,,
Critical Care for the non-ICU clinician,Society for Critical Care Medicine,ICU for non ICU-trained Providers,Inpatient/ED,Website,https://covid19.sccm.org/nonicu.htm,Useful for non-ICU trained clinicians managing ICU patients,,,,,
COVID-19 (Novel Coronavirus),Dynamed,General Resource,Inpatient/ED,Website,https://www.dynamed.com/condition/covid-19-novel-coronavirus,Overview of COVID-19 topics by a well-known online resource for clinicians,3/27/20,,,,
Coronavirus disease 2019 (COVID-19),UpToDate,General Resource,Inpatient/ED,Website,https://www.uptodate.com/contents/coronavirus-disease-2019-covid-19,Overview of COVID-19 topics by a well-known online resource for clinicians,3/27/20,,,,
A Seattle Intensivist's Guide to COVID-19,Onepagericu.com,"General Resource, ICU for non ICU-trained Providers",Inpatient/ED,Website,https://www.onepagericu.com/,Useful for non-ICU trained clinicians managing ICU patients; includes sections on COVID-19 and other ICU topics; created by an unaffiliated ICU physician in Seattle Washington,3/26/20,,,,
COVID Airway Management with Aliaksei Pustavoitau,Anesthesia and Critical Care Reviews and Commentary (ACCRAC) Podcast,"Airway Management, Mechanical Ventilation",Inpatient/ED,Podcast,http://accrac.com/episode-166-covid-airway-management-with-aliaksei-pustavoitau/,Airway Management; 40 minutes,,,,,
COVID Clinical Care Update,Anesthesia and Critical Care Reviews and Commentary (ACCRAC) Podcast,General Resource,Inpatient/ED,Podcast,http://accrac.com/episode-167-covid-clinical-care-update/,General overview; 35 minutes,,,,,
Coronavirus COVID-19 (SARS-CoV-2),Johns Hopkins ABX Guide,Drug Therapy,Inpatient/ED,Protocol/Guideline,https://www.hopkinsguides.com/hopkins/view/Johns_Hopkins_ABX_Guide/540747/all/Coronavirus_COVID_19__SARS_CoV_2_,,,,,,
Johns Hopkins COVID-19 Clinician Pocket Reference Guide V1.3,Johns Hopkins Medicine,General Resource,Inpatient/ED,Quick Reference,http://accrac.com/wp-content/uploads/2020/03/COVID19-One-Page-1.pdf,,,,,,
The Internet Book of Critical Care,EMCrit.org,"General Resource, ICU for non ICU-trained Providers",Inpatient/ED,Website,https://emcrit.org/ibcc/toc/,Useful for non-ICU trained clinicians managing ICU patients,,,,,
Experimental Agent Reviews,Society for Infectious Disease Pharmacists,Drug Therapy,Inpatient/ED,Website,https://sidp.org/covid19/,,,,,,
Assessment of Evidence for COVID-19-Related Treatments:,American Society of Health System Pharmacists,Drug Therapy,Inpatient/ED,Quick Reference,https://www.ashp.org/-/media/assets/pharmacy-practice/resource-centers/Coronavirus/docs/ASHP-COVID-19-Evidence-Table.ashx?la=en&hash=B414CC64FD64E1AE8CA47AD753BA744EDF4FFB8C,,3/27/20,,,,
The Effect of the COVID-19 Pandemic on Clinic Operations,Journal of the American Medical Association,"Infection Control, Health System Planning",Inpatient/ED,Podcast,https://edhub.ama-assn.org/jn-learning/audio-player/18315011?utm_content=car_weekly_highlights&utm_term=032120&utm_source=silverchair&utm_campaign=jama_network&cmp=1&utm_medium=email,20 minutes,,,,,
Coronavirus disease 2019 (COVID-19),Critical Care Reviews,General Resource,Inpatient/ED,Website,https://www.criticalcarereviews.com/index.php/covid-19,Contains links to selected pertinent journal articles,,,,,
Ethics Statement on Resource Allocation in a Pandemic,American Society of Anesthesiologists,"Ethics, Use of Scarce Resources",Inpatient/ED,Protocol/Guideline,https://www.asahq.org/in-the-spotlight/coronavirus-covid-19-information/ethics-statement-on-resource-allocation,,,,,,
The Importance of Addressing Advance Care Planning and Decisions About Do-Not-Resuscitate Orders During Novel Coronavirus 2019 (COVID-19),Journal of the American Medical Association,"Ethics, Use of Scarce Resources, CPR",Inpatient/ED,Journal Article,https://jamanetwork.com/journals/jama/fullarticle/2763952,,,,,,
Surge Priority Planning COVID-19: Critical Care Staffing and Nursing Considerations,American College of Chest Physicians,Health System Planning,Inpatient/ED,Protocol/Guideline,https://www.chestnet.org/Guidelines-and-Resources/Resources/Surge-Priority-Planning-COVID-19-Critical-Care-Staffing-and-Nursing-Considerations,Health System Planning,,,,,
Ventilator Management,Michigan Critical Care Collaborative Network,"Mechanical Ventilation, ICU for non ICU-trained Providers",Inpatient/ED,Quick Reference,http://www.med.umich.edu/surgery/mcccn/documents/Ventilator_Management-3_23_20.pdf,Useful for non-ICU trained clinicians managing ICU patients,,,,,
Overview of ARDS Ventilator Management Strategies,Michigan Critical Care Collaborative Network,"Mechanical Ventilation, ICU for non ICU-trained Providers",Inpatient/ED,Quick Reference,http://www.med.umich.edu/surgery/mcccn/documents/ARDS-Strategies-1-6-20.pdf,Useful for non-ICU trained clinicians managing ICU patients,,,,,
Lidocaine during intubation and extubation in patients with coronavirus disease (COVID-19),Canadian Journal of Anesthesia,"Airway Management, Mechanical Ventilation",Inpatient/ED,Journal Article,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7090453/,Extubation,,,,,
Keck School of Medicine of USC COVID-19 Evidence-Based Summary,Keck School of Medicine of USC,General Resource,Inpatient/ED,Website,http://keck.usc.edu/wp-content/uploads/2020/03/Evidence-Based-COVID_3-27.pdf?fbclid=IwAR31GxGD1vwY9MtulJFUpSQxTrMyZ2TctHFtZLrJBaqnol_J0qLaFBZzxnk,,,,,,
